0,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
856,Luol Deng,2015-16,30,MIA,NBA,PF,74,73,32.4,4.6,10.1,0.455,1.2,3.5,0.344,3.4,6.6,0.513,0.514,2,2.6,0.755,1.5,4.5,6,1.9,1,0.4,1.1,1.6,12.3
857,Luol Deng,2016-17,31,LAL,NBA,SF,56,49,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6
858,Luol Deng,2017-18,32,LAL,NBA,SF,1,1,13,1,2,0.5,0,0,1,2,0.5,0.5,0,0,0,0,0,1,1,0,1,0,2,,
859,DeMar DeRozan,2009-10,20,TOR,NBA,SG,77,65,21.6,3.3,6.6,0.498,0.1,0.2,0.25,3.3,6.4,0.506,0.502,1.9,2.5,0.763,0.9,2,2.9,0.7,0.6,0.2,0.8,2.3,8.6
860,DeMar DeRozan,2010-11,21,TOR,NBA,SG,82,82,34.8,6.6,14.1,0.467,0.1,0.6,0.096,6.5,13.4,0.485,0.469,4,4.9,0.813,0.9,2.9,3.8,1.8,1,0.4,1.8,2.6,17.2
861,DeMar DeRozan,2011-12,22,TOR,NBA,SG,63,63,35,6,14.3,0.422,0.4,1.5,0.261,5.7,12.9,0.44,0.435,4.3,5.3,0.81,0.6,2.7,3.3,2,0.8,0.3,2,2.6,16.7
862,DeMar DeRozan,2012-13,23,TOR,NBA,SG,82,82,36.7,6.7,15,0.445,0.4,1.5,0.283,6.3,13.5,0.463,0.459,4.3,5.2,0.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1,18.1
863,DeMar DeRozan,2013-14,24,TOR,NBA,SG,79,79,38.2,7.6,17.8,0.429,0.8,2.7,0.305,6.8,15.2,0.451,0.452,6.6,8,0.824,0.6,3.7,4.3,4,1.1,0.4,2.2,2.5,22.7
864,DeMar DeRozan,2014-15,25,TOR,NBA,SG,60,60,35,6.8,16.5,0.413,0.4,1.5,0.284,6.4,15,0.426,0.426,6,7.2,0.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2,20.1
865,DeMar DeRozan,2015-16,26,TOR,NBA,SG,78,78,35.9,7.9,17.7,0.446,0.6,1.8,0.338,7.3,15.9,0.458,0.463,7.1,8.4,0.85,0.8,3.7,4.5,4,1,0.3,2.2,2.1,23.5
866,DeMar DeRozan,2016-17,27,TOR,NBA,SG,74,74,35.4,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.477,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3
867,DeMar DeRozan,2017-18,28,TOR,NBA,SG,80,80,33.9,8.1,17.7,0.456,1.1,3.6,0.31,7,14.1,0.494,0.488,5.8,7,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23
868,Cheick Diallo,2016-17,20,NOP,NBA,PF,17,0,11.7,2.1,4.5,0.474,0,0,2.1,4.5,0.474,0.474,0.9,1.2,0.714,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1,5.1,
869,Cheick Diallo,2017-18,21,NOP,NBA,PF,52,0,11.2,2,3.4,0.58,0,0,2,3.4,0.58,0.58,1,1.3,0.758,0.9,3.2,4.1,0.4,0.2,0.4,0.5,1.6,4.9,
870,Gorgui Dieng,2013-14,24,MIN,NBA,C,60,15,13.6,1.9,3.8,0.498,0,0,1,1.9,3.8,0.496,0.5,1,1.6,0.634,1.7,3.3,5,0.7,0.5,0.8,0.9,1.8,4.8
871,Gorgui Dieng,2014-15,25,MIN,NBA,C,73,49,30,3.5,7,0.506,0,0.1,0.167,3.5,6.9,0.51,0.507,2.6,3.3,0.783,3.1,5.3,8.3,2,1,1.7,1.7,2.6,9.7
872,Gorgui Dieng,2015-16,26,MIN,NBA,C,82,39,27.1,3.8,7.1,0.532,0.1,0.2,0.3,3.7,6.8,0.54,0.537,2.5,3,0.827,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,10.1
873,Gorgui Dieng,2016-17,27,MIN,NBA,PF,82,82,32.4,4,8.1,0.502,0.2,0.5,0.372,3.9,7.5,0.511,0.514,1.7,2,0.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10
874,Gorgui Dieng,2017-18,28,MIN,NBA,C,79,0,16.9,2.4,4.9,0.479,0.2,0.8,0.311,2.1,4.1,0.511,0.504,1,1.3,0.775,1.3,3.2,4.6,0.9,0.6,0.5,0.7,1.9,5.9
875,Spencer Dinwiddie,2014-15,21,DET,NBA,PG,34,1,13.4,1.5,5,0.302,0.4,1.9,0.185,1.1,3.1,0.375,0.337,0.9,1,0.912,0.1,1.3,1.4,3.1,0.6,0.2,1,1.6,4.3
876,Spencer Dinwiddie,2015-16,22,DET,NBA,PG,12,0,13.3,1.6,4.5,0.352,0.1,0.8,0.1,1.5,3.7,0.409,0.361,1.6,2.8,0.576,0.3,1.1,1.4,1.8,0.3,0,0.6,1.7,4.8
877,Spencer Dinwiddie,2016-17,23,BRK,NBA,PG,59,18,22.6,2.3,5.1,0.444,0.6,1.7,0.376,1.6,3.4,0.478,0.507,2.1,2.7,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2,7.3
878,Spencer Dinwiddie,2017-18,24,BRK,NBA,PG,80,58,28.8,4.1,10.5,0.387,1.8,5.4,0.326,2.3,5.1,0.452,0.471,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6
879,Tyler Dorsey,2017-18,21,ATL,NBA,SG,56,5,17.4,2.6,6.8,0.377,1.3,3.6,0.362,1.3,3.3,0.393,0.471,0.8,1.1,0.714,0.3,2,2.3,1.4,0.3,0.1,0.7,1.1,7.2
880,Damyean Dotson,2017-18,23,NYK,NBA,SG,44,2,10.8,1.6,3.7,0.447,0.5,1.5,0.324,1.1,2.1,0.538,0.516,0.4,0.5,0.696,0.2,1.7,1.9,0.7,0.3,0,0.4,0.8,4.1
881,Milton Doyle,2017-18,24,BRK,NBA,SG,10,0,12.5,1.3,4.7,0.277,0.4,2.3,0.174,0.9,2.4,0.375,0.319,0.4,0.8,0.5,0.3,1.5,1.8,1,0.6,0.2,0.2,1.3,3.4
882,PJ Dozier,2017-18,21,OKC,NBA,PG,2,0,1.5,0.5,1,0.5,0,0,0.5,1,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,1,,
883,Goran Dragic,2008-09,22,PHO,NBA,PG,55,1,13.2,1.6,4.1,0.393,0.4,1,0.37,1.2,3.1,0.4,0.438,0.9,1.2,0.769,0.6,1.3,1.9,2,0.5,0.1,1.3,1.6,4.5
884,Goran Dragic,2009-10,23,PHO,NBA,PG,80,2,18,2.8,6.1,0.452,0.9,2.4,0.394,1.9,3.8,0.488,0.527,1.5,2,0.736,0.5,1.7,2.1,3,0.6,0.1,1.6,1.6,7.9
885,Goran Dragic,2010-11,24,TOT,NBA,PG,70,5,17.6,2.7,6.3,0.435,0.8,2.2,0.361,1.9,4.1,0.476,0.499,1.2,1.9,0.624,0.5,1.5,2,2.9,0.7,0.1,1.7,1.8,7.5
886,Goran Dragic,2010-11,24,PHO,NBA,PG,48,2,17.8,2.8,6.6,0.421,0.6,2.1,0.277,2.2,4.5,0.488,0.465,1.2,2,0.608,0.5,1.3,1.8,3.1,0.8,0.1,2,1.9,7.4
887,Goran Dragic,2010-11,24,HOU,NBA,PG,22,3,17.2,2.7,5.7,0.472,1.3,2.5,0.519,1.4,3.2,0.437,0.584,1.1,1.6,0.667,0.5,2,2.5,2.5,0.6,0.2,1,1.6,7.7
888,Goran Dragic,2011-12,25,HOU,NBA,PG,66,28,26.5,4.2,9.1,0.462,1,3.1,0.337,3.2,6,0.525,0.518,2.3,2.9,0.805,0.8,1.7,2.5,5.3,1.3,0.2,2.4,2.5,11.7
889,Goran Dragic,2012-13,26,PHO,NBA,PG,77,77,33.5,5.2,11.8,0.443,1.1,3.6,0.319,4.1,8.2,0.497,0.491,3.2,4.2,0.748,0.8,2.3,3.1,7.4,1.6,0.3,2.8,2.8,14.7
890,Goran Dragic,2013-14,27,PHO,NBA,SG,76,75,35.1,7.3,14.4,0.505,1.6,3.9,0.408,5.7,10.4,0.542,0.561,4.2,5.5,0.76,0.9,2.3,3.2,5.9,1.4,0.3,2.8,2.7,20.3
891,Goran Dragic,2014-15,28,TOT,NBA,SG-PG,78,78,33.8,6.4,12.8,0.501,1.2,3.3,0.347,5.3,9.5,0.555,0.546,2.3,3,0.774,1,2.5,3.5,4.5,1,0.2,2.2,2.5,16.3
892,Goran Dragic,2014-15,28,PHO,NBA,SG,52,52,33.4,6.5,13.1,0.501,1.3,3.6,0.355,5.3,9.5,0.556,0.549,1.9,2.5,0.746,1,2.6,3.6,4.1,1,0.2,2.2,2.3,16.2
893,Goran Dragic,2014-15,28,MIA,NBA,PG,26,26,34.8,6.2,12.4,0.502,0.9,2.8,0.329,5.3,9.6,0.552,0.539,3.2,4,0.808,1.2,2.3,3.4,5.3,1.1,0.2,2.3,2.9,16.6
894,Goran Dragic,2015-16,29,MIA,NBA,PG,72,72,32.8,5.8,12.2,0.477,0.9,2.8,0.312,4.9,9.3,0.527,0.513,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1,0.2,2.6,2.6,14.1
895,Goran Dragic,2016-17,30,MIA,NBA,PG,73,73,33.7,7.3,15.4,0.475,1.6,4,0.405,5.7,11.4,0.499,0.527,4.1,5.2,0.79,0.8,3,3.8,5.8,1.2,0.2,2.9,2.7,20.3
896,Goran Dragic,2017-18,31,MIA,NBA,PG,75,75,31.7,6.5,14.3,0.45,1.5,4,0.37,5,10.3,0.481,0.502,2.9,3.6,0.801,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4,17.3
897,Larry Drew,2014-15,24,PHI,NBA,PG,12,1,18.3,1.7,4.8,0.345,0.3,2.2,0.154,1.3,2.7,0.5,0.379,0.2,0.3,0.667,0.1,1.2,1.3,3.8,0.5,0,2.1,1.1,3.8
898,Larry Drew,2015-16,25,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Larry Drew,2016-17,26,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Larry Drew,2017-18,27,TOT,NBA,PG,10,0,7,0.7,2.4,0.292,0.3,0.9,0.333,0.4,1.5,0.267,0.354,0,0,0.3,0,0.3,1,0,0,0.3,0.6,1.7,
901,Larry Drew,2017-18,27,PHI,NBA,PG,3,0,5,0.3,2.3,0.143,0,1,0,0.3,1.3,0.25,0.143,0,0,0.3,0,0.3,0.7,0,0,0.3,0.7,0.7,
902,Larry Drew,2017-18,27,NOP,NBA,PG,7,0,7.9,0.9,2.4,0.353,0.4,0.9,0.5,0.4,1.6,0.273,0.441,0,0,0.3,0,0.3,1.1,0,0,0.3,0.6,2.1,
903,Andre Drummond,2012-13,19,DET,NBA,C,60,10,20.7,3.5,5.7,0.608,0,0,0.5,3.5,5.7,0.609,0.61,1,2.7,0.371,2.8,4.8,7.6,0.5,1,1.6,1,2.4,7.9
904,Andre Drummond,2013-14,20,DET,NBA,C,81,81,32.3,5.9,9.5,0.623,0,0,0,5.9,9.5,0.625,0.623,1.7,4,0.418,5.4,7.8,13.2,0.4,1.2,1.6,1.4,3.4,13.5
905,Andre Drummond,2014-15,21,DET,NBA,C,82,82,30.5,6,11.7,0.514,0,0,0,6,11.7,0.515,0.514,1.7,4.5,0.389,5.3,8.1,13.5,0.7,0.9,1.9,1.5,3.5,13.8
906,Andre Drummond,2015-16,22,DET,NBA,C,81,81,32.9,6.8,13.1,0.521,0,0.1,0.333,6.8,13,0.522,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3,16.2
907,Andre Drummond,2016-17,23,DET,NBA,C,81,81,29.7,6,11.2,0.53,0,0.1,0.286,5.9,11.2,0.532,0.531,1.7,4.4,0.386,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6
908,Andre Drummond,2017-18,24,DET,NBA,C,78,78,33.7,6,11.3,0.529,0,0.1,0,6,11.2,0.536,0.529,3.1,5.1,0.605,5.1,10.9,16,3,1.5,1.6,2.6,3.2,15
909,Jared Dudley,2007-08,22,CHA,NBA,PF,73,14,19,2.2,4.8,0.468,0.1,0.6,0.22,2.1,4.2,0.502,0.481,1.2,1.6,0.737,1.7,2.3,3.9,1.1,0.8,0.1,0.7,1.8,5.8
910,Jared Dudley,2008-09,23,TOT,NBA,SF,68,7,17,2,4.2,0.477,0.4,1.1,0.392,1.6,3.1,0.507,0.528,1,1.5,0.676,1.2,1.8,3,0.8,0.8,0.1,0.6,1.5,5.5
911,Jared Dudley,2008-09,23,CHA,NBA,SF,20,7,21.4,2.3,4.8,0.469,0.2,0.4,0.375,2.1,4.4,0.477,0.484,0.8,1.2,0.625,1.3,1.7,3,1,0.9,0.1,0.5,2,5.4
912,Jared Dudley,2008-09,23,PHO,NBA,SF,48,0,15.2,1.9,3.9,0.481,0.5,1.4,0.394,1.4,2.6,0.528,0.55,1.2,1.7,0.691,1.2,1.9,3,0.8,0.8,0.1,0.7,1.4,5.5
913,Jared Dudley,2009-10,24,PHO,NBA,SF,82,1,24.3,2.7,6,0.459,1.5,3.2,0.458,1.3,2.8,0.461,0.582,1.3,1.7,0.754,1.2,2.2,3.4,1.4,1,0.2,0.8,2,8.2
914,Jared Dudley,2010-11,25,PHO,NBA,SF,82,15,26.1,3.7,7.7,0.477,1.3,3.1,0.415,2.4,4.6,0.519,0.56,2,2.7,0.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6
915,Jared Dudley,2011-12,26,PHO,NBA,SG,65,60,31.1,4.8,9.9,0.485,1.2,3.2,0.383,3.6,6.7,0.535,0.547,1.8,2.5,0.726,1.5,3.2,4.6,1.7,0.8,0.3,1.1,1.6,12.7
916,Jared Dudley,2012-13,27,PHO,NBA,SF,79,50,27.5,4,8.5,0.468,1.3,3.4,0.391,2.6,5,0.52,0.547,1.6,2.1,0.796,1,2.1,3.1,2.6,0.9,0.1,1.3,1.6,10.9
917,Jared Dudley,2013-14,28,LAC,NBA,SF,74,43,23.4,2.6,6,0.438,1.1,3,0.36,1.6,3,0.518,0.529,0.5,0.8,0.655,0.5,1.7,2.2,1.4,0.6,0.1,0.8,2,6.9
918,Jared Dudley,2014-15,29,MIL,NBA,SG,72,22,23.8,2.8,5.9,0.468,1,2.7,0.385,1.7,3.2,0.537,0.556,0.7,0.9,0.716,0.6,2.4,3.1,1.8,1,0.2,0.9,1.6,7.2
919,Jared Dudley,2015-16,30,WAS,NBA,PF,81,41,25.9,2.9,6,0.478,1.2,2.9,0.42,1.6,3.1,0.534,0.581,0.9,1.2,0.735,0.7,2.9,3.5,2.1,0.9,0.2,1,2.3,7.9
920,Jared Dudley,2016-17,31,PHO,NBA,PF,64,7,21.3,2.5,5.4,0.454,1.2,3.2,0.379,1.3,2.2,0.559,0.565,0.7,1,0.662,0.5,3,3.5,1.9,0.7,0.3,1.1,2.4,6.8
921,Jared Dudley,2017-18,32,PHO,NBA,PF,48,0,14.3,1,2.5,0.393,0.6,1.7,0.363,0.4,0.9,0.452,0.512,0.6,0.7,0.771,0.2,1.8,2,1.6,0.5,0.2,0.6,1.8,3.2
922,Kris Dunn,2016-17,22,MIN,NBA,PG,78,7,17.1,1.5,4,0.377,0.3,0.9,0.288,1.2,3.1,0.404,0.411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1,0.5,1.1,2.3,3.8
923,Kris Dunn,2017-18,23,CHI,NBA,PG,52,43,29.3,5.5,12.8,0.429,0.8,2.6,0.321,4.7,10.2,0.457,0.462,1.6,2.2,0.737,0.5,3.8,4.3,6,2,0.5,2.9,3.3,13.4
924,Kevin Durant,2007-08,19,SEA,NBA,SG,80,80,34.6,7.3,17.1,0.43,0.7,2.6,0.288,6.6,14.5,0.455,0.451,4.9,5.6,0.873,0.9,3.5,4.4,2.4,1,0.9,2.9,1.5,20.3
925,Kevin Durant,2008-09,20,OKC,NBA,SF,74,74,39,8.9,18.8,0.476,1.3,3.1,0.422,7.6,15.7,0.486,0.51,6.1,7.1,0.863,1,5.5,6.5,2.8,1.3,0.7,3,1.8,25.3
926,Kevin Durant,2009-10,21,OKC,NBA,SF,82,82,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1,3.3,2.1,30.1
927,Kevin Durant,2010-11,22,OKC,NBA,SF,78,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1,2.8,2,27.7
928,Kevin Durant,2011-12,23,OKC,NBA,SF,66,66,38.6,9.7,19.7,0.496,2,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8,3.5,1.3,1.2,3.8,2,28
929,Kevin Durant,2012-13,24,OKC,NBA,SF,81,81,38.5,9,17.7,0.51,1.7,4.1,0.416,7.3,13.6,0.539,0.559,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1
930,Kevin Durant,2013-14,25,OKC,NBA,SF,81,81,38.5,10.5,20.8,0.503,2.4,6.1,0.391,8.1,14.8,0.549,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32
931,Kevin Durant,2014-15,26,OKC,NBA,SF,27,27,33.8,8.8,17.3,0.51,2.4,5.9,0.403,6.4,11.4,0.565,0.578,5.4,6.3,0.854,0.6,6,6.6,4.1,0.9,0.9,2.7,1.5,25.4
932,Kevin Durant,2015-16,27,OKC,NBA,SF,72,72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5,1,1.2,3.5,1.9,28.2
933,Kevin Durant,2016-17,28,GSW,NBA,PF,62,62,33.4,8.9,16.5,0.537,1.9,5,0.375,7,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1
934,Kevin Durant,2017-18,29,GSW,NBA,PF,68,68,34.2,9.3,18,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3,2,26.4
935,Jarell Eddie,2015-16,24,WAS,NBA,SF,26,0,5.7,0.8,2.5,0.308,0.6,1.8,0.319,0.2,0.7,0.278,0.423,0.3,0.3,1,0.1,0.8,0.9,0.2,0.2,0,0,0.2,2.4
936,Jarell Eddie,2016-17,25,PHO,NBA,SF,5,0,12.4,1.2,3.8,0.316,0.8,3.2,0.25,0.4,0.6,0.667,0.421,1.6,1.8,0.889,0.2,1.2,1.4,0,0.2,0,0.2,0.2,4.8
937,Jarell Eddie,2017-18,26,TOT,NBA,SF,3,0,3,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0,,
938,Jarell Eddie,2017-18,26,BOS,NBA,SF,2,0,3,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,,
939,Jarell Eddie,2017-18,26,CHI,NBA,SF,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
940,Henry Ellenson,2016-17,20,DET,NBA,PF,19,2,7.7,1.2,3.4,0.359,0.5,1.8,0.286,0.7,1.5,0.448,0.438,0.2,0.4,0.5,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2
941,Henry Ellenson,2017-18,21,DET,NBA,PF,38,0,8.7,1.4,3.8,0.363,0.5,1.6,0.333,0.9,2.3,0.384,0.432,0.7,0.8,0.862,0.3,1.9,2.1,0.5,0.1,0,0.5,0.6,4
942,Wayne Ellington,2009-10,22,MIN,NBA,SG,76,1,18.2,2.5,5.9,0.424,0.8,2.1,0.395,1.7,3.8,0.441,0.496,0.8,0.9,0.871,0.4,1.7,2.1,1,0.3,0.1,1,0.9,6.6
943,Wayne Ellington,2010-11,23,MIN,NBA,SG,62,8,19,2.6,6.4,0.403,0.8,2,0.397,1.8,4.5,0.406,0.463,0.7,0.9,0.792,0.4,1.3,1.7,1.2,0.5,0,0.9,1.4,6.6
944,Wayne Ellington,2011-12,24,MIN,NBA,SG,51,4,19.1,2.4,5.9,0.404,0.7,2.1,0.324,1.7,3.8,0.448,0.462,0.6,0.8,0.8,0.3,1.7,1.9,0.6,0.5,0.2,0.5,1.1,6.1
945,Wayne Ellington,2012-13,25,TOT,NBA,SG,78,21,21.3,2.9,6.8,0.427,1.2,3.1,0.392,1.7,3.7,0.457,0.516,0.9,1,0.907,0.3,1.8,2.1,1.3,0.6,0,0.7,1,7.9
946,Wayne Ellington,2012-13,25,MEM,NBA,SG,40,4,16.9,2,5,0.407,1,2.4,0.423,1,2.6,0.392,0.51,0.4,0.4,0.938,0.1,1.2,1.3,1.1,0.4,0,0.6,1,5.5
947,Wayne Ellington,2012-13,25,CLE,NBA,SG,38,17,25.9,3.8,8.7,0.439,1.4,3.8,0.371,2.4,4.9,0.492,0.52,1.4,1.6,0.898,0.5,2.5,3,1.6,0.8,0.1,0.9,1.1,10.4
948,Wayne Ellington,2013-14,26,DAL,NBA,SG,45,1,8.7,1.2,2.8,0.437,0.6,1.3,0.424,0.7,1.5,0.448,0.536,0.2,0.2,0.909,0.2,0.8,1,0.4,0.4,0,0.2,0.7,3.2
949,Wayne Ellington,2014-15,27,LAL,NBA,SG,65,36,25.8,3.9,9.5,0.412,1.4,3.7,0.37,2.5,5.8,0.439,0.485,0.8,1,0.813,0.5,2.8,3.2,1.6,0.5,0,0.8,1.2,10
950,Wayne Ellington,2015-16,28,BRK,NBA,SG,76,41,21.3,2.9,7.4,0.389,1.3,3.5,0.358,1.6,3.9,0.416,0.474,0.7,0.8,0.857,0.3,2,2.3,1.1,0.6,0.1,0.6,1.1,7.7
951,Wayne Ellington,2016-17,29,MIA,NBA,SG,62,13,24.2,3.7,9,0.416,2.4,6.4,0.378,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5
952,Wayne Ellington,2017-18,30,MIA,NBA,SG,77,2,26.5,3.7,9.1,0.407,2.9,7.5,0.392,0.8,1.6,0.479,0.569,0.9,1,0.859,0.3,2.5,2.8,1,0.7,0.1,0.7,1.2,11.2
953,Joel Embiid,2016-17,22,PHI,NBA,C,31,31,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,2,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2
954,Joel Embiid,2017-18,23,PHI,NBA,C,63,63,30.3,8.1,16.8,0.483,1,3.4,0.308,7,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9
955,James Ennis,2014-15,24,MIA,NBA,SF,62,3,17,1.6,4,0.409,0.5,1.5,0.326,1.1,2.5,0.461,0.472,1.3,1.5,0.84,0.8,2,2.8,0.8,0.4,0.3,0.6,1.4,5
956,James Ennis,2015-16,25,TOT,NBA,SF,22,5,15,2.5,5.1,0.478,1.2,2.6,0.448,1.3,2.5,0.509,0.593,1.1,1.5,0.735,1,1,1.9,1,0.7,0.2,0.9,1.3,7.2
957,James Ennis,2015-16,25,MIA,NBA,SF,3,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,,,,,
958,James Ennis,2015-16,25,MEM,NBA,SF,10,0,4,0.4,1.3,0.308,0.2,0.8,0.25,0.2,0.5,0.4,0.385,0.6,1,0.6,0.4,0.3,0.7,0.2,0.4,0.2,0.2,0.1,1.6
959,James Ennis,2015-16,25,NOP,NBA,SF,9,5,31.3,5.6,11.1,0.5,2.7,5.6,0.48,2.9,5.6,0.52,0.62,2.1,2.7,0.792,1.9,2,3.9,2,1.3,0.3,1.9,2.9,15.9
960,James Ennis,2016-17,26,MEM,NBA,SF,64,28,23.5,2.3,5,0.455,0.8,2.1,0.372,1.5,2.9,0.516,0.534,1.3,1.7,0.782,1.1,3,4,1,0.7,0.3,0.9,2.6,6.7
961,James Ennis,2017-18,27,TOT,NBA,SF,72,22,22.3,2.5,5.3,0.474,0.7,2.1,0.333,1.8,3.2,0.567,0.54,1.3,1.6,0.836,1,2.1,3.1,1,0.7,0.3,0.8,1.9,7.1
962,James Ennis,2017-18,27,MEM,NBA,SF,45,14,23.4,2.4,4.9,0.486,0.7,1.9,0.357,1.7,3.1,0.565,0.554,1.4,1.6,0.877,1.2,2.3,3.5,1.1,0.7,0.3,0.8,1.8,6.9
963,James Ennis,2017-18,27,DET,NBA,SF,27,8,20.4,2.7,6,0.457,0.8,2.6,0.304,2,3.4,0.57,0.522,1.2,1.6,0.767,0.7,1.7,2.5,0.8,0.6,0.2,0.7,2,7.5
964,Tyler Ennis,2014-15,20,TOT,NBA,PG,33,1,12.5,1.6,4.4,0.361,0.4,1.3,0.279,1.2,3.1,0.396,0.403,0.2,0.2,0.714,0.2,0.8,1.1,2.2,0.5,0.2,1.3,1.1,3.7
965,Tyler Ennis,2014-15,20,PHO,NBA,PG,8,0,7.3,1.1,2.6,0.429,0.3,0.8,0.333,0.9,1.9,0.467,0.476,0.3,0.3,1,0.1,0.8,0.9,1.8,0,0.3,1,0.4,2.8
966,Tyler Ennis,2014-15,20,MIL,NBA,PG,25,1,14.1,1.7,4.9,0.35,0.4,1.5,0.27,1.3,3.4,0.384,0.39,0.1,0.2,0.6,0.2,0.9,1.1,2.4,0.7,0.1,1.4,1.3,4
967,Tyler Ennis,2015-16,21,MIL,NBA,PG,46,7,14.2,1.8,4.1,0.449,0.3,0.8,0.333,1.5,3.2,0.48,0.484,0.5,0.7,0.735,0.3,1.3,1.6,2.1,0.5,0,1,1.4,4.5
968,Tyler Ennis,2016-17,22,TOT,NBA,PG,53,2,11.1,1.7,3.9,0.433,0.5,1.3,0.386,1.2,2.6,0.457,0.498,0.4,0.5,0.84,0.2,0.7,0.8,1.6,0.5,0,0.8,1.1,4.3
969,Tyler Ennis,2016-17,22,HOU,NBA,PG,31,0,6.3,0.8,2.1,0.391,0.2,0.5,0.375,0.6,1.5,0.396,0.438,0.1,0.1,0.667,0.1,0.5,0.6,1.1,0.2,0,0.8,0.9,1.9
970,Tyler Ennis,2016-17,22,LAL,NBA,PG,22,2,17.8,3,6.5,0.451,1,2.5,0.389,2,4.1,0.489,0.524,0.9,1,0.864,0.2,1,1.2,2.4,0.9,0.1,1,1.3,7.7
971,Tyler Ennis,2017-18,23,LAL,NBA,PG,54,11,12.6,1.7,4.1,0.42,0.3,1,0.25,1.5,3.1,0.476,0.451,0.4,0.5,0.759,0.4,1.4,1.8,1.9,0.6,0.2,0.7,1.4,4.1
972,Jawun Evans,2017-18,21,LAC,NBA,PG,48,4,16.2,1.9,5.3,0.352,0.3,1.1,0.278,1.5,4.1,0.372,0.381,0.8,1,0.776,0.2,1.6,1.8,2.1,0.8,0.1,0.9,2,4.8
973,Jeremy Evans,2010-11,23,UTA,NBA,SF,49,3,9.4,1.6,2.3,0.661,0,0,0,1.6,2.3,0.667,0.661,0.5,0.8,0.703,0.7,1.2,2,0.5,0.3,0.3,0.4,1,3.6
974,Jeremy Evans,2011-12,24,UTA,NBA,SF,29,0,7.5,0.9,1.4,0.643,0,0,0,0.9,1.4,0.659,0.643,0.3,0.6,0.5,0.7,1.1,1.7,0.4,0.2,0.8,0.2,0.8,2.1
